v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
AMF001,sex toys for women/20130626161025476.jpg,screaming female masturbation ,"						<ul class=""property"">								<li>catalogue: vibrators</li>								<li>material:ABS Rubber</li>								<li>suitable for :female</li>								<li>dimension :lengenth 17.2cm diameter4.7cm, vibratorslength67mm</li>								<li>power:4 NO.5 battery</li>								<li>HZ:50HZ</li>								<li>feature: best in av </li>								<li>waterproof:yes</li>							</ul>",,39,,0001-01-01,39.8,1,2013/7/5 7:42,2013/6/27 3:11,1000,,Sex Toys For Women,,,,,,,--none--,1,1,1,0,0,0,screaming female masturbation AMF001,"screaming female masturbation ,sex toys for women, amiga toys","shopping screaming female masturbation at amiga toys, cheap price and free shipping"
AMF002,sex toys for women/20130626161026484.jpg,masturbation for both man and women,"						<ul class=""property"">								<li>catalogue: vibrators</li>								<li>material:silicon</li>								<li>suitable for :for both man and woman </li>								<li>brand:We-Vibe</li>								<li>dimension :8.9*5*2.5cm</li>								<li>power:direct charger</li>								<li>HZ:9 frequence </li>								<li>feature:second generation for both man and woman G Spot </li>								<li>warranty:one year  </li>								<li>weight:0.25kg</li>								<li>waterproof:yes</li>							</ul>",,127.3,,0001-01-01,133.2,1,2013/7/5 7:42,2013/6/27 3:11,1000,,Sex Toys For Women,,,,,,,--none--,1,1,1,0,0,0,masturbation for both man and women AMF002,"masturbation for both man and women,sex toys for women, amiga toys","shopping masturbation for both man and women at amiga toys, cheap price and free shipping"
AMF003,sex toys for women/20130626161029497.jpg,G spot masturbation for male ,"						<ul class=""property"">								<li>catalogue: vibrators</li>								<li>material:ABSplastic + electronic component</li>								<li>brand:amiga toys </li>								<li>dimension :lengenth 80mm</li>								<li>power:3 button battery</li>								<li>feature:small </li>							</ul>",,14.7,,0001-01-01,22.3,1,2013/7/5 7:42,2013/6/27 3:11,1000,,Sex Toys For Women,,,,,,,--none--,1,1,1,0,0,0,G spot masturbation for male AMF003,"G spot masturbation for male ,sex toys for women, amiga toys","shopping G spot masturbation for male at amiga toys, cheap price and free shipping"
AMF004,sex toys for women/20130626161031505.jpg,we-vibe Thrill double spot female masturbation,"						<ul class=""property"">								<li>catalogue:G Spot</li>								<li>material:seniorsilicon</li>								<li>suitable for :female</li>								<li>brand:We-Vibe</li>								<li>dimension :90x96mm</li>								<li>power:USB Charger </li>								<li>HZ:8frequence </li>								<li>waterproof:waterproof</li>								<li>including:product+instructions +bag+charger +box</li>							</ul>",,235.8,,0001-01-01,237,1,2013/7/5 7:42,2013/6/27 3:11,1000,,Sex Toys For Women,,,,,,,--none--,1,1,1,0,0,0,we-vibe Thrill double spot female masturbation AMF004,"we-vibe Thrill double spot female masturbation,sex toys for women, amiga toys","shopping we-vibe Thrill double spot female masturbation at amiga toys, cheap price and free shipping"
AMF005,sex toys for women/20130626161026478.jpg,Jump Egg Pussy Stroker Vagina Vibrating Ring Thorn Condom,"						<ul class=""property"">								<li>catalogue:jump egg</li>								<li>material:TRB soft silicon +ABS</li>								<li>suitable for :female</li>								<li>brand:amiga toys</li>								<li>dimension :lengthabout7.5cm max diameterabout2.7cm</li>								<li>power:2 NO.7 Battery </li>								<li>HZ:10frequence </li>								<li>feature:10 frequence  hand-free </li>								<li>waterproof:waterproof</li>							</ul>",,15.7,,0001-01-01,17.8,1,2013/7/5 7:42,2013/6/27 3:11,1000,,Sex Toys For Women,,,,,,,--none--,1,1,1,0,0,0,Jump Egg Pussy Stroker Vagina Vibrating Ring Thorn Condom AMF005,"Jump Egg Pussy Stroker Vagina Vibrating Ring Thorn Condom,sex toys for women, amiga toys","shopping Jump Egg Pussy Stroker Vagina Vibrating Ring Thorn Condom at amiga toys, cheap price and free shipping"
AMF006,sex toys for women/20130626161037520.jpg,female masturbation ,"						<ul class=""property"">								<li>material:medical material</li>								<li>suitable for :female</li>								<li>dimension :lengenth 15cm  diameterabout3cm</li>								<li>waterproof:waterproof</li>							</ul>",,22.3,,0001-01-01,23.9,1,2013/7/5 7:42,2013/6/27 3:11,1000,,Sex Toys For Women,,,,,,,--none--,1,1,1,0,0,0,female masturbation AMF006,"female masturbation ,sex toys for women, amiga toys","shopping female masturbation at amiga toys, cheap price and free shipping"
AMF007,sex toys for women/20130626161027489.jpg,amazing crystal female masturbation ,"						<ul class=""property"">								<li>material:crystal </li>								<li>suitable for :for both man and woman</li>								<li>dimension :length17cm  diameter2.7cm</li>								<li>feature:grogerous</li>								<li>waterproof:waterproof</li>							</ul>",,33.8,,0001-01-01,43.5,1,2013/7/5 7:42,2013/6/27 3:11,1000,,Sex Toys For Women,,,,,,,--none--,1,1,1,0,0,0,amazing crystal female masturbation AMF007,"amazing crystal female masturbation ,sex toys for women, amiga toys","shopping amazing crystal female masturbation at amiga toys, cheap price and free shipping"
AMF008,sex toys for women/20130626161039528.jpg,Jump Egg for fantasty ,"						<ul class=""property"">								<li>catalogue:jump egg</li>								<li>material:new technolgoy material</li>								<li>suitable for :female</li>								<li>brand:amiga toys</li>								<li>dimension :big -length13.8cm  small -length5.5cm diameter2.5cm</li>								<li>power 3 NO.5 Battery </li>							</ul>",,11.7,,0001-01-01,13.8,1,2013/7/5 7:42,2013/6/27 3:11,1000,,Sex Toys For Women,,,,,,,--none--,1,1,1,0,0,0,Jump Egg for fantasty AMF008,"Jump Egg for fantasty ,sex toys for women, amiga toys","shopping Jump Egg for fantasty at amiga toys, cheap price and free shipping"
AMF009,sex toys for women/20130626161029495.jpg,jump egg for female sex ,"						<ul class=""property"">								<li>catalogue:jump egg</li>								<li>material:medicalpolymers</li>								<li>suitable for :female</li>								<li>brand:amigo toys </li>								<li>dimension :length 14cm max diameter 3.5cm</li>								<li>power:2 5#battery</li>							</ul>",,15.7,,0001-01-01,23,1,2013/7/5 7:42,2013/6/27 3:11,1000,,Sex Toys For Women,,,,,,,--none--,1,1,1,0,0,0,jump egg for female sex AMF009,"jump egg for female sex ,sex toys for women, amiga toys","shopping jump egg for female sex at amiga toys, cheap price and free shipping"
AMF010,sex toys for women/20130626161042535.jpg,jump egg for female sex ,"						<ul class=""property"">								<li>catalogue:jump egg</li>								<li>material:medicalmaterial</li>								<li>suitable for :female</li>								<li>brand:amiga toys</li>								<li>dimension :big-length10.0cm average diameter2.5cm-length5.0cm diameter2.4cm</li>								<li>power:3 NO.5 Battery </li>							</ul>",,12.3,,0001-01-01,19.2,1,2013/7/5 7:42,2013/6/27 3:11,1000,,Sex Toys For Women,,,,,,,--none--,1,1,1,0,0,0,jump egg for female sex AMF010,"jump egg for female sex ,sex toys for women, amiga toys","shopping jump egg for female sex at amiga toys, cheap price and free shipping"
