v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
Sexy Pants 001,sexylingerie-us/sexylingerie/7700-2.jpg,Girls Sexy Pants Mixed,"Product Name: <strong>Girls Sexy Pants Mixed</strong><br>
Colors: As the picture<br>
Sizes: One Size Fits Most<br>
Materials: 85% Nylon+15% Spandex<br>
Feature: Dark Black Young Girls Legging.",,15,,,38,,,,555,,Sexy Pants,,,,,,,--none--,1,0,1,0,1,0,,,
Sexy Pants 002,sexylingerie-us/sexylingerie/7711.jpg,Womens Sexy Pants Black,"Product Name: <strong>Womens Sexy Pants Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Lace<br>
Feature: Black Young Girls Legging.",,15,,,38,,,,555,,Sexy Pants,,,,,,,--none--,1,0,1,0,1,0,,,
Sexy Pants 003,sexylingerie-us/sexylingerie/7714.jpg,Womens Sexy Pants Blue,"Product Name: <strong>Womens Sexy Pants Blue</strong><br>
Colors: Blue<br>
Sizes: One Size Fits Most<br>
Materials: 85% Nylon+17% Spandex<br>
Feature: Blue sky Legging.",,15,,,38,,,,555,,Sexy Pants,,,,,,,--none--,1,0,1,0,1,0,,,
Sexy Pants 004,sexylingerie-us/sexylingerie/7716.jpg,Womens Sexy Pants Mixed,"Product Name: <strong>Womens Sexy Pants Mixed</strong><br>
Colors: As the picture<br>
Sizes: One Size Fits Most<br>
Materials: 85% Nylon+18% Spandex<br>
Feature: Global Star Legging.",,15,,,38,,,,555,,Sexy Pants,,,,,,,--none--,1,0,1,0,1,0,,,
Sexy Pants 005,sexylingerie-us/sexylingerie/7717.jpg,Womens Sexy Pants Blue,"Product Name: <strong>Womens Sexy Pants Blue</strong><br>
Colors: Blue<br>
Sizes: One Size Fits Most<br>
Materials: 85% Nylon+19% Spandex<br>
Feature: Star Legging.",,15,,,38,,,,555,,Sexy Pants,,,,,,,--none--,1,0,1,0,1,0,,,
Sexy Pants 006,sexylingerie-us/sexylingerie/7719-1.jpg,Womens Sexy Pants Blue,"Product Name: <strong>Womens Sexy Pants Blue</strong><br>
Colors: Blue<br>
Sizes: One Size Fits Most<br>
Materials: 85% Nylon+20% Spandex<br>
Feature: Trends Legging Blue.",,15,,,38,,,,555,,Sexy Pants,,,,,,,--none--,1,0,1,0,1,0,,,
Sexy Pants 007,sexylingerie-us/sexylingerie/7721.jpg,Womens Sexy Pants Black,"Product Name: <strong>Womens Sexy Pants Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: 85% Nylon+21% Spandex<br>
Feature: Butterfly Rhinestone Legging.",,15,,,38,,,,555,,Sexy Pants,,,,,,,--none--,1,0,1,0,1,0,,,
Sexy Pants 008,sexylingerie-us/sexylingerie/7722.jpg,Womens Sexy Pants Black,"Product Name: <strong>Womens Sexy Pants Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: 85% Nylon+22% Spandex<br>
Feature: Geometry Rhinestone Legging.",,15,,,38,,,,555,,Sexy Pants,,,,,,,--none--,1,0,1,0,1,0,,,
Sexy Pants 009,sexylingerie-us/sexylingerie/7723.jpg,Womens Sexy Pants Black,"Product Name: <strong>Womens Sexy Pants Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: 85% Nylon+23% Spandex<br>
Feature: Rivets Decorate Legging.",,15,,,38,,,,555,,Sexy Pants,,,,,,,--none--,1,0,1,0,1,0,,,
Sexy Pants 010,sexylingerie-us/sexylingerie/7724.jpg,Womens Sexy Pants Blue,"Product Name: <strong>Womens Sexy Pants Blue</strong><br>
Colors: Blue<br>
Sizes: One Size Fits Most<br>
Materials: 85% Nylon+24% Spandex<br>
Feature: Star and Letter Legging.",,15,,,38,,,,555,,Sexy Pants,,,,,,,--none--,1,0,1,0,1,0,,,
