v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
sexy lingerie 001,sexylingerie-us/sexylingerie/7524-1.jpg,Sexy Lace Lingerie White,"Product Name: <strong>Sexy Lace Lingerie White</strong><br>
Colors: White<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Sexy Lace Lingerie, Ruffle Short. High Quality Product.
",,16.8,,0001-01-01,24,0,2012-7-31 1:35,2012-7-31 1:35,555,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 002,sexylingerie-us/sexylingerie/7524-2.jpg,Sexy Lace Lingerie Black,"Product Name: <strong>Sexy Lace Lingerie Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Sexy Lace Lingerie, Ruffle Short. High Quality Product.
",,16.8,,0001-01-01,24,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 003,sexylingerie-us/sexylingerie/7524-3.jpg,Sexy Lace Lingerie Red,"Product Name: <strong>Sexy Lace Lingerie Red</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Sexy Lace Lingerie, Ruffle Short. High Quality Product.
",,16.8,,0001-01-01,24,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 004,sexylingerie-us/sexylingerie/7524-4.jpg,Sexy Lace Lingerie Dark Pink,"Product Name: <strong>Sexy Lace Lingerie Dark Pink</strong><br>
Colors: Pink<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Sexy Lace Lingerie, Ruffle Short. High Quality Product.
",,16.8,,0001-01-01,24,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 005,sexylingerie-us/sexylingerie/7524-5.jpg,Sexy Lace Lingerie Light Pink,"Product Name: <strong>Sexy Lace Lingerie Light Pink</strong><br>
Colors: Light Pink<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Sexy Lace Lingerie, Ruffle Short. High Quality Product.
",,16.8,,0001-01-01,24,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 006,sexylingerie-us/sexylingerie/7526.jpg,Sexy Lace Lingerie White Black,"Product Name: <strong>Sexy Lace Lingerie White Black</strong><br>
Colors: White/Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Sexy Lace Lingerie, Ruffle Short. High Quality Product.
",,13.3,,0001-01-01,19,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 007,sexylingerie-us/sexylingerie/7527.jpg,Girls Sexy Lingerie Gold,"Product Name: <strong>Girls Sexy Lingerie Gold</strong><br>
Colors: Gold<br>
Sizes: One Size Fits Most<br>
Materials: PU<br>
Feature: Girls Hot Lingerie, Metallic Micro Bottom.
",,9.8,,0001-01-01,11,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 008,sexylingerie-us/sexylingerie/7528.jpg,Girls Sexy G-String Black,"Product Name: <strong>Girls Sexy G-String Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Girls Hot Lingerie, Lycra G String.
",,9.8,,0001-01-01,11,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 009,sexylingerie-us/sexylingerie/7530-2.jpg,Womens Sexy Lingerie Black,"Product Name: <strong>Womens Sexy Lingerie Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: PU<br>
Feature: Womens Sexy Lingerie, Black Crotchless Panty.
",,9.8,,0001-01-01,11,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 010,sexylingerie-us/sexylingerie/7530-3.jpg,Womens Sexy Lingerie Red,"Product Name: <strong>Womens Sexy Lingerie Red</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: PU<br>
Feature: Womens Sexy Lingerie, Red Crotchless Panty.
",,9.8,,0001-01-01,11,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 011,sexylingerie-us/sexylingerie/7531.jpg,Womens Sexy Lingerie Coffee,"Product Name: <strong>Womens Sexy Lingerie Coffee</strong><br>
Colors: Coffee<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Womens Sexy Lingerie, Hot Short. High Quality Product.
