v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
Bustiers Corsets 001,sexylingerie-us/sexylingerie/0254-1.jpg,Stunning Floral Tapestry Strapless Corset and Thong,"Product Name: <strong>Stunning Floral Tapestry Strapless Corset and Thong</strong><br>
Colors: White<br>
Sizes: One Size Fits Most<br>
Materials: Damask<br>
Feature: Stunning Floral Tapestry Strapless Corset and Thong.

",,28,,,48,,,,488,,Bustiers Corsets,,,,,,,--none--,1,0,1,0,1,0,,,
Bustiers Corsets 002,sexylingerie-us/sexylingerie/5002.jpg,Sexy Lace Strapless Corset,"Product Name: <strong>Sexy Lace Strapless Corset</strong><br>
Colors: Black/Pink<br>
Sizes: One Size Fits Most<br>
Materials: Damask<br>
Feature: Sexy Lace Strapless Corset.

",,28,,,48,,,,488,,Bustiers Corsets,,,,,,,--none--,1,0,1,0,1,0,,,
Bustiers Corsets 003,sexylingerie-us/sexylingerie/5003.jpg,Satin Tapestry Flowered Jacquard Long-Line Bustier,"Product Name: <strong>Satin Tapestry Flowered Jacquard Long-Line Bustier</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: Damask<br>
Feature: Satin Tapestry Flowered Jacquard Long-Line Bustier with lightly padded underwire cups, hook & eye front, body controlling side, front, and back boning, plus a waist cinching lace-up back and adjustable garters. Comes with matching G-String.

",,28,,,48,,,,488,,Bustiers Corsets,,,,,,,--none--,1,0,1,0,1,0,,,
Bustiers Corsets 004,sexylingerie-us/sexylingerie/5010-2.jpg,Sexy Black Ruffled Bustier,"Product Name: <strong>Sexy Black Ruffled Bustier</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Damask<br>
Feature: Sexy Black Ruffled Bustier.

",,28,,,48,,,,488,,Bustiers Corsets,,,,,,,--none--,1,0,1,0,1,0,,,
Bustiers Corsets 005,sexylingerie-us/sexylingerie/5012.jpg,Corset With Satin G-String Set,"Product Name: <strong>Corset With Satin G-String Set</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Damask<br>
Feature: Corset With Satin G-String Set.

",,28,,,48,,,,488,,Bustiers Corsets,,,,,,,--none--,1,0,1,0,1,0,,,
Bustiers Corsets 006,sexylingerie-us/sexylingerie/5014-1.jpg,Blue Flower Brocade Metal Boning Corset,"Product Name: <strong>Flower Brocade Metal Boning Corset</strong><br>
Colors: Dark Blue<br>
Sizes: One Size Fits Most<br>
Materials: Damask<br>
Feature: Blue Flower brocade metal boning corset with hook and eyelet front closure and lace up back.

",,28,,,48,,,,488,,Bustiers Corsets,,,,,,,--none--,1,0,1,0,1,0,,,
Bustiers Corsets 007,sexylingerie-us/sexylingerie/5014-2.jpg,Red Flower Brocade Metal Boning Corset,"Product Name: <strong>Red Flower Brocade Metal Boning Corset</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: Damask<br>
Feature: Red Flower brocade metal boning corset with hook and eyelet front closure and lace up back.

",,28,,,48,,,,488,,Bustiers Corsets,,,,,,,--none--,1,0,1,0,1,0,,,
Bustiers Corsets 008,sexylingerie-us/sexylingerie/5018.jpg,Blue Floral Strapless Bustier,"Product Name: <strong>Blue Floral Strapless Bustier</strong><br>
Colors: Blue<br>
Sizes: One Size Fits Most<br>
Materials: Damask<br>
Feature: Blue Floral Strapless Bustier.

",,28,,,48,,,,488,,Bustiers Corsets,,,,,,,--none--,1,0,1,0,1,0,,,
Bustiers Corsets 009,sexylingerie-us/sexylingerie/5021.jpg,Lace Corset with G-string,"Product Name: <strong>Lace Corset with G-string</strong><br>
Colors: Yellow<br>
Sizes: One Size Fits Most<br>
Materials: Damask<br>
Feature: Lace corset with center front closures. Lace tie up back. Matching g string.

",,28,,,48,,,,488,,Bustiers Corsets,,,,,,,--none--,1,0,1,0,1,0,,,
Bustiers Corsets 010,sexylingerie-us/sexylingerie/5022.jpg,Sexy Lace Strapless Bustier,"Product Name: <strong>Sexy Lace Strapless Bustier</strong><br>
Colors: Black/Red<br>
Sizes: One Size Fits Most<br>
Materials: Damask<br>
Feature: Sexy Lace Strapless Bustier.

",,28,,,48,,,,488,,Bustiers Corsets,,,,,,,--none--,1,0,1,0,1,0,,,
