v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
Club Costume 001,sexylingerie-us/sexylingerie/2007.jpg,Sexy Club Costume Pink,"Product Name: <strong>Sexy Club Costume Pink</strong><br>
Colors: Pink<br>
Sizes: One Size Fits Most<br>
Materials: Slinky<br>
Feature: Smooth and soft fabrics, comfortable to wear, Lovely Pink Design For Costume Club.
",,28,,,48,,,,555,,Club Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Club Costume 002,sexylingerie-us/sexylingerie/2010.jpg,Sexy Club Costume Black,"Product Name: <strong>Sexy Club Costume Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Smooth and soft fabrics, comfortable to wear, Elegant Black Design For Costume Club.
",,28,,,48,,,,555,,Club Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Club Costume 003,sexylingerie-us/sexylingerie/2066.jpg,Sexy Club Costume Black,"Product Name: <strong>Sexy Club Costume Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Smooth and soft fabrics, comfortable to wear, Elegant Black Design For Costume Club.
",,28,,,48,,,,555,,Club Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Club Costume 004,sexylingerie-us/sexylingerie/2125.JPG,Sexy Club Costume White,"Product Name: <strong>Sexy Club Costume White</strong><br>
Colors: White<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Smooth and soft fabrics, comfortable to wear, White Design For Costume Club.
",,28,,,48,,,,555,,Club Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Club Costume 005,sexylingerie-us/sexylingerie/2126.jpg,Sexy Club Costume Pink,"Product Name: <strong>Sexy Club Costume Pink</strong><br>
Colors: Pink<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Smooth and soft fabrics, comfortable to wear, Lovely Pink Design For Costume Club.
",,28,,,48,,,,555,,Club Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Club Costume 006,sexylingerie-us/sexylingerie/2129.jpg,Sexy Club Costume Pink,"Product Name: <strong>Sexy Club Costume Pink</strong><br>
Colors: Pink<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Smooth and soft fabrics, comfortable to wear, Lovely Pink Design For Costume Club.
",,28,,,48,,,,555,,Club Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Club Costume 007,sexylingerie-us/sexylingerie/2130.jpg,Sexy Club Costume Black,"Product Name: <strong>Sexy Club Costume Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Smooth and soft fabrics, comfortable to wear, Elegant Black Design For Costume Club.
",,28,,,48,,,,555,,Club Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Club Costume 008,sexylingerie-us/sexylingerie/2160.jpg,Sexy Club Costume Black,"Product Name: <strong>Sexy Club Costume Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Smooth and soft fabrics, comfortable to wear, Elegant Black Design For Costume Club.
",,28,,,48,,,,555,,Club Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Club Costume 009,sexylingerie-us/sexylingerie/2171.jpg,Sexy Club Costume Black,"Product Name: <strong>Sexy Club Costume Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: PU+ Spandex<br>
Feature: Smooth and soft fabrics, comfortable to wear, Elegant Black Design For Costume Club.
",,28,,,48,,,,555,,Club Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Club Costume 010,sexylingerie-us/sexylingerie/2174.JPG,Sexy Club Costume Mixed,"Product Name: <strong>Sexy Club Costume Mixed</strong><br>
Colors: As the picture<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Smooth and soft fabrics, comfortable to wear, Elegant Design For Costume Club.
",,28,,,48,,,,555,,Club Costume,,,,,,,--none--,1,0,1,0,1,0,,,
