v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
Fashion Legging 001,sexylingerie-us/sexylingerie/7700.jpg,Young Girls Legging Mixed,"Product Name: <strong>Young Girls Legging Mixed</strong><br>
Colors: As the picture<br>
Sizes: One Size Fits Most<br>
Materials:  85% Nylon+15% Spandex<br>
Feature: Young Girls Legging.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
Fashion Legging 002,sexylingerie-us/sexylingerie/7702.jpg,Girl with Butterfly Legging Mixed,"Product Name: <strong>Girl with Butterfly Legging Mixed</strong><br>
Colors: As the picture<br>
Sizes: One Size Fits Most<br>
Materials:  85% Nylon+16% Spandex<br>
Feature: Girl with Butterfly Legging.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
Fashion Legging 003,sexylingerie-us/sexylingerie/7703.jpg,Skull Fashion Legging Mixed,"Product Name: <strong>Skull Fashion Legging Mixed</strong><br>
Colors: As the picture<br>
Sizes: One Size Fits Most<br>
Materials:  85% Nylon+17% Spandex<br>
Feature: Skull Fashion Legging.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
Fashion Legging 004,sexylingerie-us/sexylingerie/7705.jpg,Fashion Camouflage Legging ,"Product Name: <strong>Fashion Camouflage Legging </strong><br>
Colors: Camouflage<br>
Sizes: One Size Fits Most<br>
Materials:  85% Nylon+18% Spandex<br>
Feature: Camouflage Legging.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
Fashion Legging 005,sexylingerie-us/sexylingerie/7706.jpg,Zipper and Lace Legging Black,"Product Name: <strong>Zipper and Lace Legging Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials:  Acrylic+ Lace<br>
Feature: Zipper and Lace Legging.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
Fashion Legging 006,sexylingerie-us/sexylingerie/7707.jpg,Chain Pattern Legging Mixed,"Product Name: <strong>Chain Pattern Legging Mixed</strong><br>
Colors: As the picture<br>
Sizes: One Size Fits Most<br>
Materials:  85% Nylon+20% Spandex<br>
Feature: Chain Pattern Legging.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
Fashion Legging 007,sexylingerie-us/sexylingerie/7708-2.jpg,Black Metallic Blue Getting Ripped Leggings,"Product Name: <strong>Black Metallic Blue Getting Ripped Leggings</strong><br>
Colors: Blue/black<br>
Sizes: One Size Fits Most<br>
Materials:  Stretch metallic foil<br>
Feature: Black Metallic Blue Getting Ripped Leggings.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
Fashion Legging 008,sexylingerie-us/sexylingerie/7708-3.jpg,Red Metallic Blue Getting Ripped Leggings,"Product Name: <strong>Red Metallic Blue Getting Ripped Leggings</strong><br>
Colors: Red/Blue<br>
Sizes: One Size Fits Most<br>
Materials:  85% Nylon+22% Spandex<br>
Feature: Red Metallic Blue Getting Ripped Leggings.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
Fashion Legging 009,sexylingerie-us/sexylingerie/7858-3.jpg,Legging Pants Destoryed Jeans Look Dark Grey,"Product Name: <strong>Legging Pants Destoryed Jeans Look Dark Grey</strong><br>
Colors: Dark Grey<br>
Sizes: One Size Fits Most<br>
Materials:  85% Nylon+23% Spandex<br>
Feature: Legging Pants Destoryed Jeans Look Dark Grey.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
Fashion Legging 010,sexylingerie-us/sexylingerie/7886-2.jpg,Womens Jeggings Look Dark Grey,"Product Name: <strong>Womens Jeggings Look Dark Grey</strong><br>
Colors: Dark Grey<br>
Sizes: One Size Fits Most<br>
Materials:  85% Nylon+24% Spandex<br>
Feature: Womens Jeggings Look Dark Grey.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
Fashion Legging 011,sexylingerie-us/sexylingerie/7891.jpg,Fashion Girl Jeppings Mixed,"Product Name: <strong>Fashion Girl Jeppings Mixed</strong><br>
Colors: As the picture<br>
Sizes: One Size Fits Most<br>
Materials:  85% Nylon+25% Spandex<br>
Feature: Fashion Girl Jeppings.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
Fashion Legging 012,sexylingerie-us/sexylingerie/7892-1.jpg,Fashion Jeppings with Metal Nail Dark Blue,"Product Name: <strong>Fashion Jeppings with Metal Nail Dark Blue</strong><br>
Colors: Dark Blue<br>
Sizes: One Size Fits Most<br>
Materials:  85% Nylon+26% Spandex<br>
Feature: Fashion Jeppings with Metal Nail.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
Fashion Legging 013,sexylingerie-us/sexylingerie/7894.jpg,Sexy Legging Pants Wet Look Dark Black,"Product Name: <strong>Sexy Legging Pants Wet Look Dark Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials:  97% Polyester+3% Elasthane<br>
Feature: Sexy Legging Pants Wet Look Dark Black.
",,28,,,48,,,,555,,Fashion Legging,,,,,,,--none--,1,0,1,0,1,0,,,
