v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
Game Uniforms 001,sexylingerie-us/sexylingerie/7104.jpg,Stunning Floral Tapestry Strapless Corset and Thong,"Product Name: <strong>Stunning Floral Tapestry Strapless Corset and Thong</strong><br>
Colors: White/Red<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Stunning Floral Tapestry Strapless Corset and Thong.

",,28,,,48,,,,488,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 002,sexylingerie-us/sexylingerie/7107.jpg,Holiday Buckles Lingerie Costume with Hat,"Product Name: <strong>Holiday Buckles Lingerie Costume with Hat</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: velvet<br>
Feature: Holiday Buckles Lingerie Costume with Hat.

",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 003,sexylingerie-us/sexylingerie/7110.jpg,Hot Halter Chemise with Thong,"Product Name: <strong>Hot Halter Chemise with Thong</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Hot Halter Chemise with Thong.

",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 004,sexylingerie-us/sexylingerie/7125.jpg,Sexy St Nick. Stretch Velvet Skirt and Top with Collar,"Product Name: <strong>Sexy St Nick. Stretch Velvet Skirt and Top with Collar</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+Spandex<br>
Feature: Sexy St Nick. Stretch Velvet Skirt and Top with Collar. Shown with Deluxe Santa Hat and Fur Boot Covers are included.
",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 005,sexylingerie-us/sexylingerie/7129.jpg,Short Velvet Christmas Romper with Cincher and Hood,"Product Name: <strong>Short Velvet Christmas Romper with Cincher and Hood</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: velvet<br>
Feature: Short Velvet Christmas Romper with Vinyl Waist Cincher and Shag Fur Hood and Detail.
",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 006,sexylingerie-us/sexylingerie/7132.jpg,Santa Marabou Trimmed Hooded Romper with Belt,"Product Name: <strong>Santa Marabou Trimmed Hooded Romper with Belt</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: velvet<br>
Feature: Playful Santa Romper includes Marabou Trimmed Hooded Romper with Belt.
",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 007,sexylingerie-us/sexylingerie/7136.jpg,Velvet off the Shoulder Dress with Gloves and Hat,"Product Name: <strong>Velvet off the Shoulder Dress with Gloves and Hat</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: velvet<br>
Feature: Velvet off the Shoulder Dress with Satin Ribbon Lace-up with Marabou Velvet Gloves and Santa Hat.
",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 008,sexylingerie-us/sexylingerie/7143.jpg,Pepper Mint Peasant Top Dress with Apron,"Product Name: <strong>Pepper Mint Peasant Top Dress with Apron</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: velvet<br>
Feature: 2PC. Pepper Mint Peasant Top Dress with Apron.
",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 009,sexylingerie-us/sexylingerie/7150.jpg,Santa's Doll Costume,"Product Name: <strong>Santa's Doll Costume</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: Santas<br>
Feature: Santa's Doll Costume includes Fur Trimmed Hooded Dress with Built in Petticoat and Bows.
",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 010,sexylingerie-us/sexylingerie/7151.jpg,Winter Foil Christmas Outfit,"Product Name: <strong>Winter Foil Christmas Outfit</strong><br>
Colors: Silver<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+PU<br>
Feature: Winter Foil Christmas Outfit includes Fur Trimmed Mini Skirt, Matching Hooded Jacket, and Triangle Lace-up Detail Bra Top.
",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 011,sexylingerie-us/sexylingerie/7155.jpg,4 Piece North Pole Mini Dress,"Product Name: <strong>4 Piece North Pole Mini Dress</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: velvet<br>
Feature: 4 Piece North Pole Mini includes Fur Trimmed Mini Dress, Matching Hood, Belt and Fur Boot Cover.
",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 012,sexylingerie-us/sexylingerie/7157.jpg,4 Piece Holiday Set,"Product Name: <strong>4 Piece Holiday Set</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: velvet<br>
Feature: 4 Piece Holiday Set includes Jacket with Shag Fur Collar and Cuff Detail, Belt, Pleated Skirt, Boot Cover.
",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 013,sexylingerie-us/sexylingerie/7158.jpg,3 piece Flirty Santa Skirt Set,"Product Name: <strong>3 piece Flirty Santa Skirt Set</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: velvet<br>
Feature: 3 piece Flirty Santa Skirt Set includes Top Tube with Satin Bow and Built-In Fur Trimmed Hooded Jacket and Fur Trimmed Skirt and Sexy Fur Boot Cover.
",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 014,sexylingerie-us/sexylingerie/7163.jpg,3 Pc Santa's Sweetheart,"Product Name: <strong>3 Pc Santa's Sweetheart</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: Santa<br>
Feature: 3 Pc Santa's Sweetheart Includes Fur Trimmed Skirt And Fur Trimmed Hooded Top With Bow,Fur Boot Covers.
",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
Game Uniforms 015,sexylingerie-us/sexylingerie/7166.jpg,3 Pc Santa's Candy Cane,"Product Name: <strong>3 Pc Santa's Candy Cane</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: Santa<br>
Feature: 3 Pc Santa's Candy Cane Includes Fur Trimmed Tube Dress With Satin Bows, Hat, Fur Boot Covers.  Nylon Striped Stockings Sales Independent.
",,28,,,48,,,,,,Game Uniforms,,,,,,,--none--,1,0,1,0,1,0,,,
