v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
Jewelry Accessories 001,sexylingerie-us/sexylingerie/0601.jpg,Silver Black Stop Leather Metal Necklace,"Product Name: <strong>Silver Black Stop Leather Metal Necklace</strong><br>
Colors: Silver/Black<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Stop Leather Necklace.

",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0,,,
Jewelry Accessories 002,sexylingerie-us/sexylingerie/0603.jpg,Womens Black Bow Pearl Necklace,"Product Name: <strong>Womens Black Bow Pearl Necklace</strong><br>
Colors: Black/White<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Black Bow Pearl Necklace.

",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0,,,
Jewelry Accessories 003,sexylingerie-us/sexylingerie/0604.jpg,Womens Love Letter Necklace,"Product Name: <strong>Womens Love Letter Necklace</strong><br>
Colors: Gold/Black<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Love Letter Necklace.

",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0,,,
Jewelry Accessories 004,sexylingerie-us/sexylingerie/0605.jpg,Punk Style Skull Long Necklace,"Product Name: <strong>Punk Style Skull Long Necklace</strong><br>
Colors: As the picture<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Punk Style Skull Long Necklace.

",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0,,,
Jewelry Accessories 005,sexylingerie-us/sexylingerie/0606.jpg,Diamond Snake Ring Flash,"Product Name: <strong>Diamond Snake Ring Flash</strong><br>
Colors: White/Black<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Diamond Snake Ring Flash.

",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0,,,
Jewelry Accessories 006,sexylingerie-us/sexylingerie/0607.jpg,Womens Flaming Lip Ring,"Product Name: <strong>Womens Flaming Lip Ring</strong><br>
Colors: Red/Black<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Womens Flaming Lip Ring.

",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0,,,
Jewelry Accessories 007,sexylingerie-us/sexylingerie/0608.jpg,Charming Fox Metal Ring,"Product Name: <strong>Charming Fox Metal Ring</strong><br>
Colors: Gold/Black<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Charming Fox Metal Ring.

",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0,,,
Jewelry Accessories 008,sexylingerie-us/sexylingerie/0609.jpg,Ruby Carved Metal Bracelet,"Product Name: <strong>Ruby Carved Metal Bracelet</strong><br>
Colors: As the picture<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Ruby Carved Metal Bracelet.
