v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
Patent Leather 001,sexylingerie-us/sexylingerie/3095.jpg,Sexy Shining Black Slim Pantent Leather Bikini,"Product Name: <strong>Sexy Shining Black Slim Pantent Leather Bikini</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials:  Vinyl<br>
Feature: Keep them guessing in this faux zipper front romper featuring a halter neck, tie back, scrunch full coverage bottom and low cut, cut out front.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 002,sexylingerie-us/sexylingerie/9002.jpg,Sexy White Nurse Costume Dress Set with Hat,"Product Name: <strong>Sexy White Nurse Costume Dress Set with Hat</strong><br>
Colors: Red/White<br>
Sizes: One Size Fits Most<br>
Materials: PVC<br>
Feature: 3 Piece Sexy Nurse Costume includes Halter Zipper Front Dress.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 003,sexylingerie-us/sexylingerie/9003.jpg,Sexy Black & White Mistress Maid Adult Costume,"Product Name: <strong>Sexy Black & White Mistress Maid Adult Costume</strong><br>
Colors: Black/White<br>
Sizes: One Size Fits Most<br>
Materials: PU+Acrylic<br>
Feature: Vinyl Maid.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 004,sexylingerie-us/sexylingerie/9007-1.jpg,Shinning Silver Slim Pantent Leather Lingerie Set,"Product Name: <strong>Shinning Silver Slim Pantent Leather Lingerie Set</strong><br>
Colors: Silver<br>
Sizes: One Size Fits Most<br>
Materials:  Acrylic+ PU<br>
Feature: deep V Vinyl Lingerie.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 005,sexylingerie-us/sexylingerie/9014.jpg,Sexy Women Black Overbust Corset,"Product Name: <strong>Sexy Women Black Overbust Corset</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Just take a look at the detail lacing at the hip. Another example of the thought and care that went into the design and construction of this attractive leather corset. Boning. Lace up back. Detachable garters.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 006,sexylingerie-us/sexylingerie/9020.jpg,Elegant Slim Babydoll Dress Gold,"Product Name: <strong>Elegant Slim Babydoll Dress Gold</strong><br>
Colors: Gold<br>
Sizes: One Size Fits Most<br>
Materials: PU<br>
Feature: Vinyl babydoll With G-string.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 007,sexylingerie-us/sexylingerie/9029.jpg,Elegant Slim Leather Corset Silver,"Product Name: <strong>Elegant Slim Leather Corset Silver</strong><br>
Colors: Silver<br>
Sizes: One Size Fits Most<br>
Materials: PU<br>
Feature: Leather Corset With Zipper & Matching G-string.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 008,sexylingerie-us/sexylingerie/9037-1.jpg,Silver Slim Pantent Leather Lingerie Set,"Product Name: <strong>Silver Slim Pantent Leather Lingerie Set</strong><br>
Colors: Silver<br>
Sizes: One Size Fits Most<br>
Materials: PU+Acrylic<br>
Feature: Silver Slim Pantent Leather Lingerie Set.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 009,sexylingerie-us/sexylingerie/9037-2.jpg,Shining Black Slim Pantent Leather Lingerie Set,"Product Name: <strong>Shining Black Slim Pantent Leather Lingerie Set</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: PU+Acrylic<br>
Feature: Shining Black Slim Pantent Leather Lingerie Set.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 010,sexylingerie-us/sexylingerie/9049.jpg,Sexy Women Black Overbust Corset 01,"Product Name: <strong>Sexy Women Black Overbust Corset 01</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: PVC<br>
Feature: Sexy Women Black Overbust Corset.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 011,sexylingerie-us/sexylingerie/9062.jpg,Sexy Black Pantent Leather Skintight Costume,"Product Name: <strong>Sexy Black Pantent Leather Skintight Costume</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: PU+ Spandex<br>
Feature: Sexy Black Pantent Leather Skintight Costume.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 012,sexylingerie-us/sexylingerie/9063.jpg,Sexy Women Black Overbust Corset With Gloves,"Product Name: <strong>Sexy Women Black Overbust Corset With Gloves</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Leather<br>
Feature: This club ware features a zipper front and chaps. Perfect sexy outfit for a great time.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 013,sexylingerie-us/sexylingerie/9065.jpg,Sexy Black Nurse Costume Dress Set with Hat,"Product Name: <strong>Sexy Black Nurse Costume Dress Set with Hat</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials:  PVC<br>
Feature: Do not worry solider, or maybe you should when you are in the care of this darque military nurse. PVC jumper with attached bra, cross patches, and removable garters. Styleincludes armband with cross patch, PVC military hat.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 014,sexylingerie-us/sexylingerie/9066.jpg,Sexy Women Black Overbust Corset 02,"Product Name: <strong>Sexy Women Black Overbust Corset 02</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: vinyl<br>
Feature: Sexy Women Black Overbust Corset.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 015,sexylingerie-us/sexylingerie/9068.jpg,Sexy Shining Black Slim Pantent Leather Costume,"Product Name: <strong>Sexy Shining Black Slim Pantent Leather Costume</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: vinyl<br>
Feature: Wetlook jumpsuit with front zipper closure. Features ruffle detail and gathered short sleeves.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0,,,
Patent Leather 016,sexylingerie-us/sexylingerie/9069.jpg,Sexy Shining Black Slim Pantent Leather Costume 01,"Product Name: <strong>Sexy Shining Black Slim Pantent Leather Costume 01</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Vinyl<br>
Feature: Sexy Shining Black Slim Pantent Leather Costume.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 017,sexylingerie-us/sexylingerie/9072.jpg,Sexy Black Bunny Bodysuit Costume with Head Piece and Tail,"Product Name: <strong>Sexy Black Bunny Bodysuit Costume with Head Piece and Tail</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: PU+Acrylic<br>
Feature: The Club Bunny costume includes a stretch, strapless teddy with high cut legs and thong back, sweetheart neckline, cotton tail, ears, collar, cuffs and bow tie collar.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 018,sexylingerie-us/sexylingerie/9073.jpg,Sexy Black Ruffle Pantent Leather Costume,"Product Name: <strong>Sexy Black Ruffle Pantent Leather Costume</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Vinyl<br>
Feature: Robe Courte Vinyl Lingerie.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 019,sexylingerie-us/sexylingerie/9074.jpg,Sexy Black Lace Leather Overbust Corset with Golves,"Product Name: <strong>Sexy Black Lace Leather Overbust Corset with Golves</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: PU+Acrylic<br>
Feature: Robe Courte Zoe with gloves.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 020,sexylingerie-us/sexylingerie/9075.jpg,Sexy Women Black Lace Overbust Corset with Gloves,"Product Name: <strong>Sexy Women Black Lace Overbust Corset with Gloves</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Lace+ PU<br>
Feature: Robe Courte Genova with gloves
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 021,sexylingerie-us/sexylingerie/9077.jpg,Sexy Black Cat Bodysuit Costume with Head Piece and Tail,"Product Name: <strong>Sexy Black Cat Bodysuit Costume with Head Piece and Tail</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: PU+Acrylic<br>
Feature: Night Cat costume includes a stretch, teddy-like top with cris cross, keyhole neck detail, adjustable neckline, matching mini boyshorts with attached tail, bell collar and cat ears.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 022,sexylingerie-us/sexylingerie/9078.jpg,Sexy Women Black Overbust Corset 02,"Product Name: <strong>Sexy Women Black Overbust Corset 02</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Vinyl<br>
Feature: Robe Courte Laurine.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 023,sexylingerie-us/sexylingerie/9079.jpg,Sexy Women Black Overbust Corset 03,"Product Name: <strong>Sexy Women Black Overbust Corset 03</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: PU+Acrylic<br>
Feature: POLICE OVERALL LEATHER WET LOOK.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 024,sexylingerie-us/sexylingerie/9080.jpg,Sexy Lingerie Corset Bustier Set Black,"Product Name: <strong>Sexy Lingerie Corset Bustier Set Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Leather<br>
Feature: Front Zipper Leather Corset with g string.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 025,sexylingerie-us/sexylingerie/9081.jpg,Sexy Lingerie Corset Bustier Set Black 01,"Product Name: <strong>Sexy Lingerie Corset Bustier Set Black 01</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Vinyl<br>
Feature: Zipper Leather Corset with g string.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 026,sexylingerie-us/sexylingerie/9083.jpg,Sexy Cool Black Costume Dress Set,"Product Name: <strong>Sexy Cool Black Costume Dress Set</strong><br>
Colors: Black<br>
