v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
MS001,sex masturbators/2013071620594415.jpg,"male vagina masturbators stroker sex toys products							","						<ul class=""property"">								<li>catalogue£ºmale Masturbators</li>								<li>material£ºSRFS </li>								<li>apply for £ºmale</li>								<li>dimension£ºlong143mm£¬high60mm£¬wide80mm</li>								 								<li>weight£ºgross weight487g</li>								<li>waterproof£ºwaterproof</li>															</ul>",,72 ,,,100 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"male vagina masturbators stroker sex toys products							 MS001","sex masturbators/2013071620594415.jpg,sex toy for men, male masturbator, ","shopping male vagina masturbators stroker sex toys products							 from amiga toy, low price and free shipping"
MS002,sex masturbators/2013071620594735.jpg,"Adult Toys Sex Products Silicone Vagina Silicon Pussy Masturbation 					","						<ul class=""property"">								<li>material£ºTPR Soft silicon</li>								<li>apply for £ºmale</li>								<li>dimension£ºlong16cm diameter 9.4cm</li>								<li>weight£ºtotal weight1.061kg£¬sex toy 0.75kg</li>														</ul>",,115 ,,,138 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"Adult Toys Sex Products Silicone Vagina Silicon Pussy Masturbation 					 MS002","sex masturbators/2013071620594735.jpg,sex toy for men, male masturbator, ","shopping Adult Toys Sex Products Silicone Vagina Silicon Pussy Masturbation 					 at amiga toy, free shipping"
MS003,sex masturbators/2013071620595048.jpg,"Silicon pussy & vagina , man masturbator ,silicone sex doll 				","						<ul class=""property"">								<li>material£ºLoveskin</li>								<li>brand£ºamerican UltraZone</li>								<li>dimension£ºlong19cm, dia 10cm</li>								<li>power £º3AAA ,recharge for heating </li>								<li>frequence £º6 speed </li>								<li>feature £ºsuper  big heatablle  sex toy </li>								<li>weight£º6 Kilo</li>								<li>waterproof£ºwaterproof</li>							</ul>",,155 ,,,178 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"Silicon pussy & vagina , man masturbator ,silicone sex doll 				 MS003","sex masturbators/2013071620595048.jpg,sex toy for men, male masturbator, ","shopping Silicon pussy & vagina , man masturbator ,silicone sex doll 				 at amiga toy, free shipping"
MS004,sex masturbators/2013071620595362.jpg,"Baby PUSSY Fleshlight, Masturbation Cup,Masturbatory CUP,Sex Products 				","						<ul class=""property"">								<li>catalogue£ºmale Masturbators</li>								<li>material£ºTPR Soft silicon</li>								<li>apply for £ºmale</li>																<li>dimension£ºlong£º30cm£¬wide£º35cm£¬thickness£º15cm</li>								<li>power £º2 AA </li>								<li>weight£º2700g</li>							</ul>",,55 ,,,66 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"Baby PUSSY Fleshlight, Masturbation Cup,Masturbatory CUP,Sex Products 				 MS004","sex masturbators/2013071620595362.jpg,sex toy for men, male masturbator, ","shopping Baby PUSSY Fleshlight, Masturbation Cup,Masturbatory CUP,Sex Products 				 at amiga toy, free shipping"
MS005,sex masturbators/2013071620595671.jpg,"Realistic Feeling Cyber Skin,Baby Vaginal,Realistic Vagina, Fleshlight Masturbators","						<ul class=""property"">								<li>material£ºloveSkin</li>								<li>apply for £ºmale</li>								<li>brand£ºAVstar</li>								<li>dimension£º205mm*115mm</li>								<li>power £º one  AAA power </li>								<li>frequence £º9 frequence </li>								<li>feature £ºheatable /double 3D tunnel /noise free </li>								<li>weight£ºgross weight1710g,new weight 866g</li>								<li>waterproof£ºyes</li>								</ul>",,205 ,,,219 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"Realistic Feeling Cyber Skin,Baby Vaginal,Realistic Vagina, Fleshlight Masturbators MS005","sex masturbators/2013071620595671.jpg,sex toy for men, male masturbator, ","shopping Realistic Feeling Cyber Skin,Baby Vaginal,Realistic Vagina, Fleshlight Masturbators at amiga toy, free shipping"
MS006,sex masturbators/2013071620595989.jpg,"4D Fake Pussy Vagina Masturbation Cup,Male Masturbators","<ul>				<li style=""display:block;"" class=""picdis"" >					<a href=""http://www.aizhigu.com.cn/zhuanti/2013jianianhua.html"" target=""_blank"">			<img src=""http://img.360chengren.com/images/group/310/310_4284_1372411999.jpg"" alt="""" />			</a>				</li>			</ul>",,102 ,,,102 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"4D Fake Pussy Vagina Masturbation Cup,Male Masturbators MS006","sex masturbators/2013071620595989.jpg,sex toy for men, male masturbator, ","shopping 4D Fake Pussy Vagina Masturbation Cup,Male Masturbators at amiga toy, free shipping"
MS007,sex masturbators/20130716210003105.jpg,"Fleshlight Lady Original,Man sex toy","						<ul class=""property"">								<li>catalogue£ºmale Masturbators</li>								<li>material£ºTPR Soft silicon</li>								<li>apply for £ºmale</li>								 								<li>dimension£ºlong12mm£¬dia 5.5mm</li>								<li>feature £ºnew technolgoy real pussy</li>							</ul>",,14 ,,,37 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"Fleshlight Lady Original,Man sex toy MS007","sex masturbators/20130716210003105.jpg,sex toy for men, male masturbator, ","shopping Fleshlight Lady Original,Man sex toy at amiga toy, free shipping"
MS008,sex masturbators/2013071620594625.jpg,Japanese AV girls vaginal mode fleshlight sexy products,"						<ul class=""property"">								<li>material£ºTPR Soft silicon</li>								<li>apply for £ºmale</li>																<li>dimension£ºlong17cm£¬dia 7.5cm</li>																						<li>waterproof£ºyes </li>							</ul>",,73 ,,,93 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,Japanese AV girls vaginal mode fleshlight sexy products MS008,"sex masturbators/2013071620594625.jpg,sex toy for men, male masturbator, ","shopping Japanese AV girls vaginal mode fleshlight sexy products at amiga toy, free shipping"
MS009,sex masturbators/20130716210006110.jpg,"Simulated Vaginal,SexCup,Masturbators,Soft Balsam","						<ul class=""property"">								<li>material£ºTPR Soft silicon</li>								<li>apply for £ºmale</li>																<li>dimension£ºlong12mm£¬high6.5mm£¬wide5mm</li>							</ul>",,18 ,,,28 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"Simulated Vaginal,SexCup,Masturbators,Soft Balsam MS009","sex masturbators/20130716210006110.jpg,sex toy for men, male masturbator, ","shopping Simulated Vaginal,SexCup,Masturbators,Soft Balsam at amiga toy, free shipping"
MS010,sex masturbators/2013071620594939.jpg,"Masturbators with Suction Cup, Fleshlight 					","						<ul class=""property"">								<li>catalogue£ºmale Masturbators</li>								<li>material£ºhigh level PVC</li>								<li>apply for £ºmale</li>								<li>brand£ºBrand </li>								<li>dimension£ºdimension 125¡Á165¡Á100mm</li>								<li>power £º4 AAAPower </li>																<li>weight£º0.6kg</li>							</ul>",,35 ,,,57 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"Masturbators with Suction Cup, Fleshlight 					 MS010","sex masturbators/2013071620594939.jpg,sex toy for men, male masturbator, ","shopping Masturbators with Suction Cup, Fleshlight 					 at amiga toy, free shipping"
MS011,sex masturbators/20130716210007120.jpg,"vibration Fleshlight, multi vibrating Masturbatory CUP","						<ul class=""property"">								<li>material£ºTPR Silicon </li>								<li>apply for £ºmale</li>																<li>dimension£ºlong 13CM£¬ high6.5cm</li>								</ul>",,20 ,,,30 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"vibration Fleshlight, multi vibrating Masturbatory CUP MS011","sex masturbators/20130716210007120.jpg,sex toy for men, male masturbator, ","shopping vibration Fleshlight, multi vibrating Masturbatory CUP at amiga toy, free shipping"
MS012,sex masturbators/2013071620595052.jpg,"Male Masturbator Cup ,Sex Cup,Fleshlight","						<ul class=""property"">								<li>material£ºlove skin</li>								<li>apply for £ºmale</li>								<li>brand£ºjapan dokidoki</li>								<li>dimension£º13.5*8*6cm</li>													<li>waterproof£ºyes </li>							</ul>",,38 ,,,64 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"Male Masturbator Cup ,Sex Cup,Fleshlight MS012","sex masturbators/2013071620595052.jpg,sex toy for men, male masturbator, ","shopping Male Masturbator Cup ,Sex Cup,Fleshlight at amiga toy, free shipping"
MS013,sex masturbators/20130716210009124.jpg,Men Masturbators nice vagina / pocket pussy,"						<ul class=""property"">								<li>material£ºhigh silicon material£ºmetal bones </li>								<li>brand£ºChindoll</li>								<li>dimension£ºhigh£º140cm </li>								<li>weight£º30KG</li>								<li>waterproof£ºwaterproof</li>							</ul>",,4472 ,,,4491 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,Men Masturbators nice vagina / pocket pussy MS013,"sex masturbators/20130716210009124.jpg,sex toy for men, male masturbator, ","shopping Men Masturbators nice vagina / pocket pussy at amiga toy, free shipping"
MS014,sex masturbators/2013071620595355.jpg,"Masturbation Cup,Masturbatory CUP,Sex Products","						<ul class=""property"">								<li>catalogue£ºmale Masturbators</li>								<li>material£ºsoft silicon </li>								<li>apply for £ºmale</li>							</ul>",,20 ,,,33 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"Masturbation Cup,Masturbatory CUP,Sex Products MS014","sex masturbators/2013071620595355.jpg,sex toy for men, male masturbator, ","shopping Masturbation Cup,Masturbatory CUP,Sex Products at amiga toy, free shipping"
MS015,sex masturbators/2013071620595464.jpg,Masturbatory Cup Superskin Vagina Type,"						<ul class=""property"">								<li>catalogue£ºmale Masturbators</li>								<li>material£ºhigh medical PVC</li>								<li>apply for £ºmale</li>																<li>dimension;length£º18CM£»M</li>							</ul>",,28 ,,,53 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,Masturbatory Cup Superskin Vagina Type MS015,"sex masturbators/2013071620595464.jpg,sex toy for men, male masturbator, ","shopping Masturbatory Cup Superskin Vagina Type at amiga toy, free shipping"
MS016,sex masturbators/2013071620595780.jpg,"Reality Pussy, Adult Sex Toys For Man","						<ul class=""property"">								<li>catalogue£ºmale Masturbators</li>								<li>material£ºhigh level PVC Soft silicon </li>								<li>apply for £ºmale</li>															<li>dimension£º20¡Á19¡Á9cm</li>							</ul>",,48 ,,,56 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"Reality Pussy, Adult Sex Toys For Man MS016","sex masturbators/2013071620595780.jpg,sex toy for men, male masturbator, ","buy Reality Pussy, Adult Sex Toys For Man at amiga toy, free shipping"
MS017,sex masturbators/2013071620595996.jpg,"Realistic Vagina, Masturbation Cup","						<ul class=""property"">								<li>material£ºTPR Soft silicon</li>								<li>apply for £ºmale</li>																<li>dimension£ºlength 13cm£¬max dia 6cm£¬min dia 5cm£¡</li>															</ul>",,17 ,,,43 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"Realistic Vagina, Masturbation Cup MS017","sex masturbators/2013071620595996.jpg,sex toy for men, male masturbator, ","buy Realistic Vagina, Masturbation Cup at amiga toy, free shipping"
MS018,sex masturbators/20130716210001101.jpg,"vibrating vagina,pussy,male masturbator cup","						<ul class=""property"">								<li>catalogue£ºmale Masturbators</li>								<li>material£ºsilicon</li>								<li>apply for £ºmale</li>																<li>dimension£ºpackage £º18.5CMX23.5CMX10CM </li>							</ul>",,30 ,,,43 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,"vibrating vagina,pussy,male masturbator cup MS018","sex masturbators/20130716210001101.jpg,sex toy for men, male masturbator, ","buy vibrating vagina,pussy,male masturbator cup at amiga toy, free shipping"
MS019,sex masturbators/2013071620594422.jpg,medical Silicon pussy & vagina penis trainer,"						<ul class=""property"">								<li>catalogue£ºmale Masturbators</li>								<li>material£ºmedical silicon </li>								<li>apply for £ºmale</li>								>								<li>dimension length 260mm¡¢wide180mm¡¢high170mm</li>								<li>power £º4 AA power </li>								<li>feature :with real girl sound </li>								<li>weight£º5 Kilo</li>							</ul>",,87 ,,,110 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,medical Silicon pussy & vagina penis trainer MS019,"sex masturbators/2013071620594422.jpg,sex toy for men, male masturbator, ","buy medical Silicon pussy & vagina penis trainer at amiga toy, free shipping"
MS020,sex masturbators/20130716210002103.jpg,inflatable doll adult fun sex products aircraft cup,"						<ul class=""property"">								<li>catalogue£ºsex doll</li>								<li>material£ºsilicon </li>								<li>apply for £ºmale</li>																<li>feature : real sex girl siza </li>								</ul>",,37 ,,,65 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,inflatable doll adult fun sex products aircraft cup MS020,"sex masturbators/20130716210002103.jpg,sex toy for men, male masturbator, ","buy inflatable doll adult fun sex products aircraft cup at amiga toy, free shipping"
MS021,sex masturbators/2013071620594732.jpg,Japanese AV girls vaginal mode fleshlight sexy products,"						<ul class=""property"">								<li>material£ºlove skin </li>								<li>apply for £ºmale</li>								<li>brand£ºjapan dokidoki</li>								<li>dimension£º13x4.5x4cm</li>								<li>weight£º132g</li>								<li>waterproof£ºyes</li>							</ul>",,22 ,,,49 ,2,,,1000,,Sex Toys For Men,,,,,,,,1,0,0,0,0,0,Japanese AV girls vaginal mode fleshlight sexy products MS021,"sex masturbators/2013071620594732.jpg,sex toy for men, male masturbator, ","buy Japanese AV girls vaginal mode fleshlight sexy products at amiga toy, free shipping"
